#,Stack,Input,Action
105,0 3 7 25 57 100 128,") ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s149
106,0 3 7 25 57 100 128 149,"; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r11 (<parametros> → ( <listapar> ))
107,0 3 7 25 57 99,"; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s127
108,0 3 7 25 57 99 127,"var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r4 (<dcl_const> → )
109,0 3 7 25 57 99 127 3,"var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s8
110,0 3 7 25 57 99 127 3 8,"id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s28
111,0 3 7 25 57 99 127 3 8 28,": inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r19 (<rep_id> → )
112,0 3 7 25 57 99 127 3 8 28 60,": inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r17 (<lid> → id <rep_id>)
113,0 3 7 25 57 99 127 3 8 27,": inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s59
114,0 3 7 25 57 99 127 3 8 27 59,"inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s10
115,0 3 7 25 57 99 127 3 8 27 59 10,"; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r26 (<tipo_pre_def> → inteiro)
116,0 3 7 25 57 99 127 3 8 27 59 103,"; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r22 (<tipo> → <tipo_pre_def>)
117,0 3 7 25 57 99 127 3 8 27 59 102,"; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s132
118,0 3 7 25 57 99 127 3 8 27 59 102 132,"inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r6 (<dcl_var> → )
119,0 3 7 25 57 99 127 3 8 27 59 102 132 153,"inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r5 (<dcl_var> → var <lid> : <tipo> ; <dcl_var>)
120,0 3 7 25 57 99 127 3 7,"inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r8 (<dcl_procs> → )
121,0 3 7 25 57 99 127 3 7 23,"inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r2 (<declaracoes> → <dcl_const> <dcl_var> <dcl_procs>)
122,0 3 7 25 57 99 127 148,"inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s6
123,0 3 7 25 57 99 127 148 6,"id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s16
124,0 3 7 25 57 99 127 148 6 16,":= id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s33
125,0 3 7 25 57 99 127 148 6 16 33,"id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
126,0 3 7 25 57 99 127 148 6 16 33 46,"+ id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
127,0 3 7 25 57 99 127 148 6 16 33 46 91,"+ id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
128,0 3 7 25 57 99 127 148 6 16 33 44,"+ id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
129,0 3 7 25 57 99 127 148 6 16 33 40,"+ id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
130,0 3 7 25 57 99 127 148 6 16 33 40 83,"+ id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
131,0 3 7 25 57 99 127 148 6 16 33 39,"+ id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s80
132,0 3 7 25 57 99 127 148 6 16 33 39 80,"id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r61 (<op_add> → +)
133,0 3 7 25 57 99 127 148 6 16 33 39 79,"id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
134,0 3 7 25 57 99 127 148 6 16 33 39 79 46,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
135,0 3 7 25 57 99 127 148 6 16 33 39 79 46 91,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
136,0 3 7 25 57 99 127 148 6 16 33 39 79 44,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
137,0 3 7 25 57 99 127 148 6 16 33 39 79 40,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
138,0 3 7 25 57 99 127 148 6 16 33 39 79 40 83,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
139,0 3 7 25 57 99 127 148 6 16 33 39 79 118,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
140,0 3 7 25 57 99 127 148 6 16 33 39 79 118 143,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r59 (<rep_expsimp> → <op_add> <termo> <rep_expsimp>)
141,0 3 7 25 57 99 127 148 6 16 33 39 78,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
142,0 3 7 25 57 99 127 148 6 16 33 38,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
143,0 3 7 25 57 99 127 148 6 16 33 38 70,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
144,0 3 7 25 57 99 127 148 6 16 33 65,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r43 (<rcomid> → := <expressao>)
145,0 3 7 25 57 99 127 148 6 16 32,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r33 (<comando> → id <rcomid>)
146,0 3 7 25 57 99 127 148 6 15,"; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s31
147,0 3 7 25 57 99 127 148 6 15 31,"escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s22
148,0 3 7 25 57 99 127 148 6 15 31 22,"( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s55
149,0 3 7 25 57 99 127 148 6 15 31 22 55,"id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
150,0 3 7 25 57 99 127 148 6 15 31 22 55 46,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
151,0 3 7 25 57 99 127 148 6 15 31 22 55 46 91,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
152,0 3 7 25 57 99 127 148 6 15 31 22 55 44,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
153,0 3 7 25 57 99 127 148 6 15 31 22 55 40,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
154,0 3 7 25 57 99 127 148 6 15 31 22 55 40 83,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
155,0 3 7 25 57 99 127 148 6 15 31 22 55 39,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
156,0 3 7 25 57 99 127 148 6 15 31 22 55 39 78,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
157,0 3 7 25 57 99 127 148 6 15 31 22 55 38,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
158,0 3 7 25 57 99 127 148 6 15 31 22 55 38 70,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
159,0 3 7 25 57 99 127 148 6 15 31 22 55 97,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r48 (<rep_expressao> → )
160,0 3 7 25 57 99 127 148 6 15 31 22 55 97 126,") fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s147
161,0 3 7 25 57 99 127 148 6 15 31 22 55 97 126 147,"fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r39 (<comando> → escreva ( <expressao> <rep_expressao> ))
162,0 3 7 25 57 99 127 148 6 15 31 64,"fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r32 (<rep_comando> → )
163,0 3 7 25 57 99 127 148 6 15 31 64 111,"fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r31 (<rep_comando> → ; <comando> <rep_comando>)
164,0 3 7 25 57 99 127 148 6 15 30,"fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s63
165,0 3 7 25 57 99 127 148 6 15 30 63,"; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r30 (<comandos> → inicio <comando> <rep_comando> fim)
166,0 3 7 25 57 99 127 148 162,"; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r9 (<dcl_proc> → proc id <parametros> ; <declaracoes> <comandos>)
167,0 3 7 24,"; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s56
168,0 3 7 24 56,"funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s26
169,0 3 7 24 56 26,"id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s58
170,0 3 7 24 56 26 58,"( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s100
171,0 3 7 24 56 26 58 100,"val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s130
172,0 3 7 24 56 26 58 100 130,"id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s28
173,0 3 7 24 56 26 58 100 130 28,", id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s61
174,0 3 7 24 56 26 58 100 130 28 61,"id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s107
